Ticker,Company_Name,Sector,Industry,Market_Cap_Cat,Cap_value
RELIANCE.NS,Reliance Industries Ltd.,Energy,Oil Gas & Consumable Fuels,Large,19635617398784
HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,Financial Services,Large,14480122576896
BHARTIARTL.NS,Bharti Airtel Ltd.,Communication Services,Telecommunication,Large,12323047604224
TCS.NS,Tata Consultancy Services Ltd.,Technology,Information Technology,Large,10638262796288
ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,Financial Services,Large,10071887052800
SBIN.NS,State Bank of India,Financial Services,Financial Services,Large,9839838232576
BAJFINANCE.NS,Bajaj Finance Ltd.,Financial Services,Financial Services,Large,6104451383296
INFY.NS,Infosys Ltd.,Technology,Information Technology,Large,6091595841536
HINDUNILVR.NS,Hindustan Unilever Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Large,5688360697856
LICI.NS,Life Insurance Corporation of India,Financial Services,Financial Services,Large,5686172844032
LT.NS,Larsen & Toubro Ltd.,Industrials,Construction,Large,5592410750976
MARUTI.NS,Maruti Suzuki India Ltd.,Consumer Cyclical,Automobile and Auto Components,Large,4709750407168
HCLTECH.NS,HCL Technologies Ltd.,Technology,Information Technology,Large,4309022146560
M&M.NS,Mahindra & Mahindra Ltd.,Consumer Cyclical,Automobile and Auto Components,Large,4297692807168
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,Financial Services,Large,4200478801920
AXISBANK.NS,Axis Bank Ltd.,Financial Services,Financial Services,Large,4167803863040
ITC.NS,ITC Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Large,4088914247680
SUNPHARMA.NS,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Large,4066152808448
ULTRACEMCO.NS,UltraTech Cement Ltd.,Basic Materials,Construction Materials,Large,3745716109312
TITAN.NS,Titan Company Ltd.,Consumer Cyclical,Consumer Durables,Large,3673076793344
ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Industrials,Services,Large,3569984471040
NTPC.NS,NTPC Ltd.,Utilities,Power,Large,3526677757952
ONGC.NS,Oil & Natural Gas Corporation Ltd.,Energy,Oil Gas & Consumable Fuels,Large,3376546840576
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,Financial Services,Large,3228222357504
BEL.NS,Bharat Electronics Ltd.,Industrials,Capital Goods,Large,3143204864000
JSWSTEEL.NS,JSW Steel Ltd.,Basic Materials,Metals & Mining,Large,3019377213440
ADANIPOWER.NS,Adani Power Ltd.,Utilities,Power,Large,2936300109824
ADANIENT.NS,Adani Enterprises Ltd.,Energy,Metals & Mining,Large,2868462223360
POWERGRID.NS,Power Grid Corporation of India Ltd.,Utilities,Power,Large,2723216621568
HAL.NS,Hindustan Aeronautics Ltd.,Industrials,Capital Goods,Large,2719239110656
COALINDIA.NS,Coal India Ltd.,Energy,Oil Gas & Consumable Fuels,Large,2662298812416
BAJAJ-AUTO.NS,Bajaj Auto Ltd.,Consumer Cyclical,Automobile and Auto Components,Large,2657786003456
VEDL.NS,Vedanta Ltd.,Basic Materials,Metals & Mining,Large,2602841669632
ETERNAL.NS,Eternal Ltd.,Consumer Cyclical,Consumer Services,Large,2583748935680
HINDZINC.NS,Hindustan Zinc Ltd.,Basic Materials,Metals & Mining,Large,2563712221184
DMART.NS,Avenue Supermarts Ltd.,Consumer Defensive,Consumer Services,Large,2533303779328
NESTLEIND.NS,Nestle India Ltd.,Consumer Defensive,Fast Moving Consumer Goods,Large,2506808623104
IOC.NS,Indian Oil Corporation Ltd.,Energy,Oil Gas & Consumable Fuels,Large,2469804638208
TATASTEEL.NS,Tata Steel Ltd.,Basic Materials,Metals & Mining,Large,2450842714112
WIPRO.NS,Wipro Ltd.,Technology,Information Technology,Large,2413637664768
